year,season,season_order,title,author,publisher,date,description,ISBN,Github_permalink,google_thumbnail,google_smallThumbnail,Cover URL override,cover_url,Github thumbnail,Cover,Style,Man partially unclothed,Woman partially unclothed,Has POC,
2020,Spring,1,"The Rakess: Society of Sirens, Vol. 1,",Scarlett Peckham,Avon,Apr. 28,"opens Peckham’s regency-era Society of Sirens series, about three ladies determined to weaponize their scandalous reputations to fight for justice, with this tale of a no-strings-attached fling between a radical libertine lady and a Scottish architect that gives way to real feeling.",9.78006E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9780062935618.jpg,http://books.google.com/books/content?id=kfo3yAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=kfo3yAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,http://books.google.com/books/content?id=kfo3yAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,Photorealistic,TRUE,FALSE,FALSE,
2020,Spring,1,A Cowboy to Remember,Rebekah Weatherspoon,Dafina,Feb. 25,"A fall lands chef Evie Buchanan in the hospital with no memory of who she is. The only person she remembers is her childhood friend, former rodeo champion Zach Pleasant. Their relationship ended badly years before, but maybe Evie’s amnesia will offer them a chance to start fresh.",9.7815E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9781496725400.jpg,http://books.google.com/books/content?id=Rp-PEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=Rp-PEAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,http://books.google.com/books/content?id=Rp-PEAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,Photorealistic,TRUE,FALSE,TRUE,
2020,Spring,1,52 Fridays,KamalaDevi McClure and Roxanne DePalma,Cleis,12-May,"In this erotic romance, Raven discovers that her girlfriend enjoys being sexually submissive, leading both women to explore their kinkier sides.",9.78163E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9781627783002.jpg,http://books.google.com/books/content?id=ha2ozAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=ha2ozAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,http://books.google.com/books/content?id=ha2ozAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,Photorealistic,TRUE,TRUE,FALSE,
2020,Spring,1,The Last Days of Autumn,Donna K. Ford,Bold Strokes,16-Jun,"Autumn Landers, recently diagnosed with cancer, falls in love with her live-in caregiver, Caroline Cross, despite the small amount of time she has left to live.",9.78164E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9781635556728.jpg,http://books.google.com/books/content?id=z9_NyQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=z9_NyQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,http://books.google.com/books/content?id=z9_NyQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,Photorealistic,FALSE,TRUE,FALSE,
2020,Spring,1,Rebel Wears Plaid,Eliza Knight,Sourcebooks Casablanca,30-Jun,"This series launch introduces Lady Jenny Mackintosh, willing to risk her life to help the Jacobite rebellion, and warrior Toran Fraser, hell-bent on taking down the Jacobites responsible for his mother’s death. When their paths cross, Toran falls for Jenny, not realizing she’s his enemy.",9.78173E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9781728200323.jpg,http://books.google.com/books/content?id=fG4vygEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=fG4vygEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,http://books.google.com/books/content?id=fG4vygEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,Photorealistic,TRUE,FALSE,FALSE,
2020,Fall,2,Beauty Tempts the Beast: A Sins for All Seasons Novel,Lorraine Heath,Avon,Sept. 29,"In the finale to the series, the newly penniless Althea Stanwick turns to Benedict Trewlove, nicknamed Beast, for lessons in seduction.",9.78006E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9780063035508.jpg,http://books.google.com/books/content?id=NbBHzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=NbBHzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,http://books.google.com/books/content?id=NbBHzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,Photorealistic,TRUE,FALSE,FALSE,
2020,Fall,2,All Scot and Bothered,Kerrigan Byrne,St. Martin’s,Sept. 29,"Byrne’s second Devil You Know romance sees Lord Chief Justice Cassius Ramsey setting out to investigate London’s most notorious gaming hall, unaware that the owner is Cecilia Teague, the alluring woman he hopes to court.",9.78125E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9781250318862.jpg,http://books.google.com/books/content?id=bKtWzAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=bKtWzAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,http://books.google.com/books/content?id=bKtWzAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,Photorealistic,TRUE,TRUE,FALSE,
2020,Fall,2,Won’t Go Home Without You,Cheris Hodges,Dafina,Jan. 26,"A man tries to save his failing marriage in Hodges’s second Richardson Sisters romance, set against the backdrop of the family’s historic South Carolina bed and breakfast.",9.7815E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9781496731890.jpg,http://books.google.com/books/content?id=EV0REAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=EV0REAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,http://books.google.com/books/content?id=EV0REAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,,Photorealistic,TRUE,FALSE,TRUE,
2020,Fall,2,Big Bad Wolf,Suleikha Snyder,Sourcebooks Casablanca,Jan. 26,"New York City serves as a sanctuary for supernatural creatures in Snyder’s first Third Shift paranormal romance. After vigilante Joe Peluso takes down six members of a clan of criminal bear-shifters, lawyer Neha Ahluwalia comes to his defense—putting targets on both their backs.",9.78173E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9781728214979.jpg,http://books.google.com/books/content?id=1TF5zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=1TF5zQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,http://books.google.com/books/content?id=1TF5zQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,Photorealistic,TRUE,FALSE,FALSE,
2020,Fall,2,The Duke’s Princess Bride,Amalie Howard,Sourcebooks Casablanca,Jan. 26,"After Princess Sarani Rao’s father, an Indian maharaja, is murdered, Sarani must flee aboard the ship of the man she used to love to avoid meeting the same fate. Will reuniting with British Capt. Rhystan Huntley reignite their old flame?.",9.78173E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9781728217192.jpg,,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1625608416i/53279746.jpg,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1625608416i/53279746.jpg,,,Photorealistic,TRUE,FALSE,FALSE,
